2017-04-01 11:36:23,759 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-04-01 11:37:07,596 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:ui:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\pom.xml.
2017-04-01 11:37:08,053 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for AddressBookModular:lt.vcs.addressbook.api:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-04-01 11:37:08,425 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:storage:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\pom.xml.
2017-04-01 11:37:10,530 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.indbutils:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.indbutils\pom.xml.
2017-04-01 11:37:10,550 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for AddressBookModular:lt.vcs.addressbook.api:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-04-01 11:37:10,846 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:10,854 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:10,867 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:10,868 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:11,172 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.inmemory:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.inmemory\pom.xml.
2017-04-01 11:37:11,202 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for AddressBookModular:lt.vcs.addressbook.api:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-04-01 11:37:11,309 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:11,310 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:11,314 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:11,315 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:11,598 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.inxmlfile:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.inxmlfile\pom.xml.
2017-04-01 11:37:11,647 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for AddressBookModular:lt.vcs.addressbook.api:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-04-01 11:37:11,656 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-04-01 11:37:11,792 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:11,793 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:11,798 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:11,799 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:11,965 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.ui.console:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\lt.vcs.addresbook.ui.console\pom.xml.
2017-04-01 11:37:11,998 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for AddressBookModular:lt.vcs.addressbook.api:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-04-01 11:37:12,012 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-04-01 11:37:12,110 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:12,112 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-01 11:37:12,114 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:12,117 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-01 11:37:12,233 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.ui.swing:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\lt.vcs.addresbook.ui.swing\pom.xml.
2017-04-01 11:37:12,235 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for AddressBookModular:lt.vcs.addressbook.api:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-04-01 11:37:12,375 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:12,376 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:12,380 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:12,381 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\lt.vcs.addresbook.ui.swing\src\test\resources
2017-04-01 11:37:12,523 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addressbook.api:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\lt.vcs.addressbook.api\pom.xml.
2017-04-01 11:37:12,551 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:ui:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\pom.xml.
2017-04-01 11:37:12,598 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:storage:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\pom.xml.
2017-04-01 11:37:12,664 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.indbutils:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.indbutils\pom.xml.
2017-04-01 11:37:12,755 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.inmemory:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.inmemory\pom.xml.
2017-04-01 11:37:12,856 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.inxmlfile:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.inxmlfile\pom.xml.
2017-04-01 11:37:12,877 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-04-01 11:37:12,972 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.ui.console:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\lt.vcs.addresbook.ui.console\pom.xml.
2017-04-01 11:37:12,977 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-04-01 11:37:13,032 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.ui.swing:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\lt.vcs.addresbook.ui.swing\pom.xml.
2017-04-01 11:37:13,456 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:13,457 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:13,461 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:13,462 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:13,691 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addressbook.storage.persistence:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addressbook.storage.persistence\pom.xml.
2017-04-01 11:37:13,858 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:13,859 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:13,863 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:13,864 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-04-01 11:37:14,171 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:AddressBookModular:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\pom.xml.
2017-04-01 11:37:14,768 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addressbook.api:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\lt.vcs.addressbook.api\pom.xml.
2017-04-01 11:37:14,777 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:ui:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\pom.xml.
2017-04-01 11:37:14,784 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:storage:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\pom.xml.
2017-04-01 11:37:14,819 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.ui.console:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\lt.vcs.addresbook.ui.console\pom.xml.
2017-04-01 11:37:14,845 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-04-01 11:37:14,881 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.ui.swing:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\lt.vcs.addresbook.ui.swing\pom.xml.
2017-04-01 11:37:14,920 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.indbutils:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.indbutils\pom.xml.
2017-04-01 11:37:14,963 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.inmemory:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.inmemory\pom.xml.
2017-04-01 11:37:14,998 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.inxmlfile:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.inxmlfile\pom.xml.
2017-04-01 11:37:15,000 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-04-01 11:37:15,050 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addressbook.storage.persistence:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_0401\vcs-java201702-master\storage\lt.vcs.addressbook.storage.persistence\pom.xml.
2017-04-01 11:37:16,745 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:16,751 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:16,764 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:16,765 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:16,928 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:16,930 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:16,934 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:16,935 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Andrius\workspace_0401\vcs-java201702-master\ui\lt.vcs.addresbook.ui.swing\src\test\resources
2017-04-01 11:37:17,144 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:17,146 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:17,150 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:17,152 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:17,373 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-04-01 11:37:17,380 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:17,386 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:17,394 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:17,398 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-01 11:37:17,602 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-04-01 11:37:17,610 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:17,611 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-01 11:37:17,613 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-01 11:37:17,615 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-01 11:37:17,748 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
