2017-06-25 15:57:17,673 [Worker-2] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-06-25 15:58:02,886 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addressbook.api:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_04.01\AddressBook_Maven_0401\workspace_0401\vcs-java201702-master\lt.vcs.addressbook.api\pom.xml.
2017-06-25 15:58:03,010 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:storage:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_04.01\AddressBook_Maven_0401\workspace_0401\vcs-java201702-master\storage\pom.xml.
2017-06-25 15:58:03,076 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:ui:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_04.01\AddressBook_Maven_0401\workspace_0401\vcs-java201702-master\ui\pom.xml.
2017-06-25 15:58:03,083 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: AddressBookModular:AddressBookModular:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_04.01\AddressBook_Maven_0401\workspace_0401\vcs-java201702-master\pom.xml.
2017-06-25 15:58:07,069 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.indbutils:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_04.01\AddressBook_Maven_0401\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.indbutils\pom.xml.
2017-06-25 15:58:07,579 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-25 15:58:07,588 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-25 15:58:07,602 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-25 15:58:07,604 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-25 15:58:08,072 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.inmemory:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_04.01\AddressBook_Maven_0401\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.inmemory\pom.xml.
2017-06-25 15:58:08,228 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-25 15:58:08,230 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-25 15:58:08,235 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-25 15:58:08,236 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-25 15:58:08,680 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.storage.inxmlfile:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_04.01\AddressBook_Maven_0401\workspace_0401\vcs-java201702-master\storage\lt.vcs.addresbook.storage.inxmlfile\pom.xml.
2017-06-25 15:58:08,776 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The artifact javax.xml:jaxb-api:jar:2.1 has been relocated to javax.xml.bind:jaxb-api:jar:2.1
2017-06-25 15:58:08,894 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-25 15:58:08,896 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-25 15:58:08,902 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-25 15:58:08,905 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-25 15:58:09,405 [Worker-13] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: AddressBookModular:lt.vcs.addresbook.ui.console:0.0.1-SNAPSHOT @ C:\Users\Andrius\workspace_04.01\AddressBook_Maven_0401\workspace_0401\vcs-java201702-master\ui\lt.vcs.addresbook.ui.console\pom.xml.
2017-06-25 15:58:09,445 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for AddressBookModular:lt.vcs.addressbook.storage.javasqlconnection:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2017-06-25 15:58:09,751 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-25 15:58:09,753 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-25 15:58:09,755 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1257 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-25 15:58:09,757 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
